orden,franja_distancia_comisaria,desde_m,hasta_m,superficie_km2,cantidad_delitos,porcentaje_delitos,porcentaje_superficie,delitos_por_km2,indice_vs_0_500
1,ENTORNO INMEDIATO (0-500 m),0,500.0,43.04748740818999,47871,31.341700547993632,21.111406397810928,1112.0509670186307,1.0
2,CERCANA (501-900 m),501,900.0,63.86464116531228,55074,36.05758843517373,31.320582809085334,862.3551153672361,0.7754636621369789
3,INTERMEDIA (901-1350 m),901,1350.0,53.11419961724595,31953,20.920000785653958,26.04833687461158,601.590539446348,0.5409738917445402
4,ALEJADA (MAS DE 1350 m),1351,,43.87997059877084,17841,11.680710231178677,21.51967391849217,406.58641645716506,0.3656185089674521
