k,inercia,silueta,reduccion_inercia_pct,distancia_recta_codo
2,9389405424.064562,0.6122827760086136,,0.0
3,4642921249.392516,0.5603368502982695,50.55,0.27042026130701474
4,2677490302.029737,0.5510789320304,42.33,0.31334510354612205
5,1857795511.3507235,0.5299336499526245,30.61,0.2625465590673809
6,1268787185.2006915,0.5379710192676634,31.7,0.19287742505587832
7,938131384.2607889,0.5429346847140415,26.06,0.10207456537066908
8,745268307.245896,0.5374853472638906,20.56,0.0
