orden,franja_distancia_comisaria,superficie_km2,poblacion_estimada,cantidad_delitos,densidad_hab_km2,delitos_por_km2,delitos_cada_10k_hab,indice_10k_vs_0_500
1,ENTORNO INMEDIATO (0-500 m),43.04748740819042,694804.6020325802,47871,16140.421749688074,1112.0509670186195,688.9850737884905,1.0
2,CERCANA (501-900 m),63.86464116531239,966088.3139063579,55074,15127.123495545162,862.3551153672345,570.0721063202745,0.8274084998469493
3,INTERMEDIA (901-1350 m),53.114199622011334,706592.6026419675,31953,13303.27120940263,601.5905393923736,452.2124896372667,0.6563458438231567
4,ALEJADA (MAS DE 1350 m),43.879989403085595,522665.48141869105,17841,11911.249034666762,406.58624221876954,341.3464373345162,0.4954337188432404
