nombre,comuna,franja_distancia_comisaria,superficie_interseccion_km2,factor_area_barrio,POBLACION,poblacion_estimada
Villa Riachuelo,8,ENTORNO INMEDIATO (0-500 m),0.09695209141586762,0.022876513408768263,14084,322.1928148490922
Villa Riachuelo,8,CERCANA (501-900 m),0.7569668031974448,0.17861152833784721,14084,2515.5647651102404
Villa Riachuelo,8,INTERMEDIA (901-1350 m),1.602693861639276,0.37816664994542737,14084,5326.099097831399
Villa Riachuelo,8,ALEJADA (MAS DE 1350 m),1.7814496479032562,0.4203453083079594,14084,5920.1433222093
Villa Santa Rita,11,ENTORNO INMEDIATO (0-500 m),0.044467021079653175,0.020655335517859905,33325,688.3390561326813
Villa Santa Rita,11,CERCANA (501-900 m),0.7386908920510346,0.3431286344090841,33325,11434.761741682727
Villa Santa Rita,11,INTERMEDIA (901-1350 m),0.9805013010555371,0.45545176756324884,33325,15177.930154045267
Villa Santa Rita,11,ALEJADA (MAS DE 1350 m),0.38915118394086756,0.18076426250979546,33325,6023.969048138933
Villa Soldati,8,ENTORNO INMEDIATO (0-500 m),1.5668610058626784,0.18036897981106165,46779,8437.480506581653
Villa Soldati,8,CERCANA (501-900 m),2.1624098804137435,0.24892550303071972,46779,11644.486106274038
Villa Soldati,8,INTERMEDIA (901-1350 m),2.940217577279595,0.33846272442301756,46779,15832.947785784338
Villa Soldati,8,ALEJADA (MAS DE 1350 m),2.0174875758048567,0.2322427927351878,46779,10864.085601359351
Villa Urquiza,12,ENTORNO INMEDIATO (0-500 m),2.138504024755898,0.39261294570031885,91563,35948.8191471583
Villa Urquiza,12,CERCANA (501-900 m),2.0121323698799323,0.36941207859905617,91563,33824.47815276538
Villa Urquiza,12,INTERMEDIA (901-1350 m),0.7839618040680002,0.1439293775688859,91563,13178.6055983399
Villa Urquiza,12,ALEJADA (MAS DE 1350 m),0.5122523144430996,0.09404559813174448,91563,8611.097101736921
